2012, Swimming, Netherlands, gold, 1
2004, Synchronized Swimming, East Germany, silver, 0
2004, Rowing, Netherlands, silver, 0
2016, Swimming, Finland, gold, 3
2004, Rowing, South Korea, bronze, 1
2012, Gymnastics, South Korea, gold, 5
2008, Athletics, Turkey, gold, 4
2004, Football / Soccer, United States, silver, 6
2008, Football / Soccer, United States, silver, 4
2008, Modern Pentathlon, Bulgaria, silver, 4
2004, Modern Pentathlon, Poland, bronze, 5
2004, Cycling, Australia, silver, 3
2012, Cycling, France, bronze, 4
2004, Football / Soccer, Australia, silver, 4
2004, Football / Soccer, Poland, bronze, 5
2012, Rowing, East Germany, bronze, 5
2012, Swimming, Bulgaria, bronze, 4
2016, Swimming, South Korea, bronze, 3
2016, Volleyball, Denemark, gold, 6
2012, Tennis, Norway, gold, 0
2012, Cycling, Germany, silver, 3
2008, Gymnastics, South Korea, g, 0
2004, Volleyball, Turkey, bronze, 6
2016, Gymnastics, South Korea, bronze, 3
2008, Modern Pentathlon, Bulgaria, bronze, 0
2008, Rowing, Cuba, bronze, 2
2012, Tennis, Commonwealth of Independent States, bronze, 5
2004, Tennis, Switzerland, silver, 0
2012, Football / Soccer, China, gold, 4
2016, Cycling, South Korea, silver, 5
2012, Volleyball, Czechoslovakia, gold, 0
2016, Synchronized Swimming, West Germany, silver, 2
2016, Football / Soccer, Denemark, bronze, 0
2016, Athletics, Germany, silver, 4
2012, Volleyball, Sweden, bronze, 6
2004, Modern Pentathlon, United States, silver, 3
2016, Football / Soccer, China, bronze, 4
2008, Athletics, Russia, bronze, 2
2012, Tennis, Czechoslovakia, gold, 6
2008, Rowing, East Germany, silver, 3
2016, Tennis, South Korea, silver, 5
2012, Swimming, West Germany, silver, 2
2008, Rowing, Poland, silver, 6
2016, Rowing, Finland, silver, 2
2012, Synchronized Swimming, Russia, gold, 0
2004, Swimming, China, bronze, 3
2012, Synchronized Swimming, Netherlands, s, 5
2016, Gymnastics, Romania, b, 2
2008, Volleyball, Romania, gold, 6
2012, Swimming, Japan, gold, 3
2004, Modern Pentathlon, Soviet Union, gold, 1
2016, Volleyball, Cuba, silver, 2
2012, Swimming, Hungary, bronze, 2
2008, Modern Pentathlon, Austria, bronze, 6
2008, Modern Pentathlon, United States, gold, 5
2008, Tennis, Bulgaria, silver, 4
2016, Cycling, Hungary, bronze, 5
2012, Modern Pentathlon, Soviet Union, bronze, 4
2016, Rowing, Germany, silver, 5
2008, Tennis, Poland, gold, 5
2012, Gymnastics, Canada, gold, 0
2012, Modern Pentathlon, Denemark, gold, 1
2008, Tennis, Italy, b, 6
2012, Volleyball, United States, gold, 1
4, Tennis, Canada, silver, 1
2016, Tennis, France, gold, 1
2012, Rowing, Belgium, silver, 1
2016, Athletics, West Germany, silver, 4
2012, Gymnastics, Hungary, silver, 2
2016, Modern Pentathlon, Australia, gold, 0
2008, Synchronized Swimming, Bulgaria, silver, 4
2016, Synchronized Swimming, Cuba, bronze, 4
2012, Synchronized Swimming, Czechoslovakia, silver, 4
2012, Rowing, Cuba, gold, 1
2016, Cycling, Finland, gold, 4
2004, Cycling, Bulgaria, gold, 1
2008, Football / Soccer, Australia, silver, 6
2012, Synchronized Swimming, France, bronze, 6
2004, Modern Pentathlon, Japan, gold, 5
2012, Modern Pentathlon, Denemark, bronze, 1
2004, Swimming, East Germany, gold, 1
2008, Gymnastics, Australia, silver, 0
2008, Tennis, Germany, bronze, 1
2004, Tennis, Finland, silver, 6
2004, Modern Pentathlon, Switzerland, s, 2
2004, Football / Soccer, Austria, b, 1
2016, Gymnastics, United States, s, 3
2008, Swimming, Australia, silver, 3
2008, Athletics, South Korea, silver, 0
2016, Rowing, Switzerland, bronze, 2
2012, Tennis, West Germany, silver, 1
2004, Rowing, Commonwealth of Independent States, silver, 5
2012, Tennis, Japan, bronze, 0
16, Rowing, Cuba, bronze, 6
2012, Athletics, Commonwealth of Independent States, silver, 6
2008, Cycling, Norway, gold, 0
2012, Football / Soccer, France, silver, 0
2012, Athletics, Italy, gold, 4
2012, Football / Soccer, United States, silver, 5
2008, Gymnastics, Cuba, bronze, 3
2012, Rowing, Netherlands, silver, 4
2012, Gymnastics, Romania, gold, 1
2012, Gymnastics, Poland, gold, 2
2016, Rowing, Denemark, bronze, 2
2004, Football / Soccer, West Germany, bronze, 0
2012, Gymnastics, East Germany, silver, 3
2004, Rowing, Finland, silver, 2
2008, Tennis, Cuba, silver, 5
2016, Gymnastics, Denemark, bronze, 5
2016, Swimming, Soviet Union, bronze, 2
2008, Modern Pentathlon, Germany, silver, 4
2016, Modern Pentathlon, Australia, silver, 6
2012, Synchronized Swimming, Poland, g, 1
2016, Swimming, Sweden, bronze, 2
2008, Athletics, Bulgaria, bronze, 3
2004, Rowing, Austria, bronze, 0
2008, Athletics, France, bronze, 2
2016, Athletics, Denemark, gold, 1
2004, Football / Soccer, Canada, bronze, 4
2016, Rowing, Belgium, silver, 6
2008, Cycling, Belgium, gold, 1
2008, Gymnastics, Soviet Union, bronze, 2
2008, Gymnastics, Belgium, silver, 0
2008, Rowing, Australia, gold, 4
2008, Gymnastics, China, silver, 5
2008, Swimming, Czechoslovakia, bronze, 1
2008, Volleyball, France, silver, 3
2008, Football / Soccer, South Korea, bronze, 3
2004, Swimming, Japan, bronze, 1
2012, Tennis, Great Britain, bronze, 6
2008, Athletics, Norway, silver, 5
2004, Synchronized Swimming, Austria, silver, 4
2004, Football / Soccer, Norway, gold, 0
2016, Cycling, Japan, silver, 2
2016, Athletics, Canada, gold, 4
2004, Gymnastics, Sweden, silver, 2
2012, Modern Pentathlon, Poland, bronze, 5
2012, Rowing, France, gold, 2
2008, Swimming, East Germany, g, 0
2012, Football / Soccer, Czechoslovakia, silver, 0
2016, Synchronized Swimming, Denemark, gold, 6
2016, Athletics, South Korea, bronze, 3
2016, Cycling, Netherlands, gold, 0
2016, Gymnastics, West Germany, silver, 1
2004, Rowing, East Germany, bronze, 4
2004, Tennis, Germany, bronze, 2
2008, Gymnastics, Great Britain, silver, 6
2008, Swimming, Commonwealth of Independent States, silver, 1
2016, Rowing, Soviet Union, gold, 4
2012, Cycling, Italy, silver, 5
2016, Swimming, East Germany, silver, 3
2004, Athletics, Sweden, gold, 0
2012, Tennis, Belgium, gold, 1
2008, Modern Pentathlon, Turkey, bronze, 4
2012, Football / Soccer, Romania, gold, 5
2008, Football / Soccer, Finland, gold, 2
2012, Swimming, East Germany, silver, 1
2012, Tennis, Czechoslovakia, silver, 0
2008, Cycling, Hungary, gold, 0
2004, Rowing, Canada, bronze, 6
2004, Gymnastics, Bulgaria, bronze, 2
2016, Football / Soccer, China, gold, 0
2016, Gymnastics, Finland, gold, 1
2004, Cycling, Japan, gold, 0
2004, Tennis, Czechoslovakia, silver, 5
2016, Cycling, Australia, silver, 6
2004, Modern Pentathlon, Romania, gold, 1
2004, Rowing, Finland, bronze, 0
2004, Tennis, Poland, bronze, 0
8, Athletics, East Germany, bronze, 3
2008, Tennis, Bulgaria, gold, 3
2004, Rowing, Japan, silver, 2
2012, Football / Soccer, Belgium, gold, 2
2004, Rowing, Australia, silver, 6
2012, Rowing, Australia, gold, 6
2004, Swimming, Russia, silver, 4
2016, Cycling, Turkey, bronze, 2
2004, Modern Pentathlon, Great Britain, bronze, 3
2004, Cycling, Italy, bronze, 3
2004, Modern Pentathlon, China, gold, 0
2016, Synchronized Swimming, Romania, bronze, 5
2008, Rowing, Czechoslovakia, bronze, 6
2012, Football / Soccer, Hungary, gold, 1
2016, Swimming, China, gold, 6
2012, Swimming, Sweden, bronze, 4
2008, Swimming, Czechoslovakia, gold, 3
2004, Tennis, Belgium, silver, 2
2008, Football / Soccer, East Germany, silver, 5
2012, Tennis, Commonwealth of Independent States, silver, 5
2008, Swimming, Romania, bronze, 1
2012, Athletics, United States, gold, 3
2016, Synchronized Swimming, Poland, silver, 3
2016, Gymnastics, Norway, bronze, 4
2016, Modern Pentathlon, Norway, bronze, 2
2004, Modern Pentathlon, West Germany, gold, 3
2004, Synchronized Swimming, China, silver, 6
2008, Gymnastics, Soviet Union, silver, 5
2004, Modern Pentathlon, South Korea, silver, 1
2016, Tennis, Hungary, gold, 5
2008, Synchronized Swimming, Poland, bronze, 4
2004, Gymnastics, Hungary, bronze, 2
2004, Gymnastics, Belgium, bronze, 0
2008, Swimming, Finland, silver, 4
2008, Modern Pentathlon, South Korea, bronze, 4
2012, Rowing, Netherlands, gold, 2
2016, Swimming, Italy, gold, 5
2004, Swimming, South Korea, bronze, 1
2004, Gymnastics, Bulgaria, gold, 3
2008, Football / Soccer, Russia, bronze, 6
2008, Synchronized Swimming, Hungary, bronze, 2
2016, Football / Soccer, Cuba, bronze, 2
2004, Swimming, Poland, silver, 2
2008, Football / Soccer, Great Britain, bronze, 2
2016, Athletics, Hungary, bronze, 2
2004, Swimming, Italy, bronze, 3
2012, Tennis, Commonwealth of Independent States, gold, 4
2004, Modern Pentathlon, Denemark, gold, 2
2012, Tennis, Switzerland, gold, 4
2016, Football / Soccer, Netherlands, s, 6
2008, Football / Soccer, Germany, bronze, 1
2008, Tennis, Czechoslovakia, gold, 6
2004, Athletics, Czechoslovakia, silver, 6
2004, Synchronized Swimming, Cuba, bronze, 4
2004, Tennis, Denemark, gold, 0
2012, Modern Pentathlon, East Germany, gold, 6
2016, Gymnastics, Austria, silver, 5
2004, Modern Pentathlon, Cuba, silver, 4
2016, Tennis, Switzerland, bronze, 1
2008, Modern Pentathlon, West Germany, bronze, 1
2004, Synchronized Swimming, Poland, gold, 3
2004, Football / Soccer, Romania, gold, 3
2012, Cycling, Denemark, gold, 1
2008, Gymnastics, Switzerland, g, 0
2016, Tennis, Denemark, bronze, 2
2012, Modern Pentathlon, Austria, bronze, 0
2008, Cycling, China, gold, 2
2012, Football / Soccer, Poland, gold, 1
2012, Volleyball, Finland, bronze, 1
2016, Athletics, Romania, silver, 6
2004, Rowing, Norway, silver, 3
2004, Cycling, United States, gold, 6
2016, Synchronized Swimming, Denemark, bronze, 1
2004, Modern Pentathlon, Germany, gold, 0
2008, Swimming, Canada, silver, 4
2016, Swimming, Bulgaria, bronze, 0
2008, Synchronized Swimming, Germany, gold, 1
2004, Volleyball, Bulgaria, silver, 3
2012, Synchronized Swimming, Norway, silver, 5
2016, Gymnastics, Cuba, bronze, 1
2016, Football / Soccer, Romania, bronze, 3
2016, Rowing, Hungary, silver, 2
2016, Football / Soccer, Switzerland, bronze, 2
2004, Football / Soccer, Sweden, bronze, 6
2008, Swimming, South Korea, silver, 1
2004, Cycling, Italy, gold, 5
2008, Volleyball, Australia, bronze, 5
2012, Volleyball, Hungary, bronze, 1
2004, Cycling, France, silver, 4
2004, Volleyball, Austria, silver, 1
2016, Modern Pentathlon, Great Britain, gold, 2
2004, Gymnastics, China, bronze, 0
2008, Synchronized Swimming, Sweden, bronze, 3
2008, Cycling, Commonwealth of Independent States, gold, 0
2016, Rowing, Netherlands, silver, 2
2004, Rowing, Germany, silver, 2
2004, Football / Soccer, Turkey, silver, 0
2016, Athletics, Turkey, gold, 5
2012, Swimming, Canada, silver, 3
2012, Cycling, Switzerland, bronze, 1
2008, Volleyball, Cuba, silver, 1
2008, Volleyball, Poland, bronze, 1
2004, Tennis, Netherlands, gold, 0
2016, Synchronized Swimming, Finland, gold, 2
2008, Synchronized Swimming, Austria, bronze, 3
2012, Cycling, Poland, silver, 3
2012, Rowing, West Germany, gold, 3
2004, Cycling, Hungary, bronze, 3
2012, Modern Pentathlon, Bulgaria, gold, 0
2016, Tennis, Netherlands, bronze, 0
2016, Swimming, Czechoslovakia, silver, 0
2016, Tennis, Turkey, gold, 3
2016, Synchronized Swimming, Finland, bronze, 4
16, Rowing, China, bronze, 2
4, Football / Soccer, West Germany, gold, 0
2008, Synchronized Swimming, Soviet Union, bronze, 1
2004, Modern Pentathlon, East Germany, bronze, 4
2004, Modern Pentathlon, Czechoslovakia, gold, 5
16, Cycling, Japan, gold, 0
2008, Tennis, Commonwealth of Independent States, gold, 3
2012, Modern Pentathlon, Canada, bronze, 2
2008, Gymnastics, Soviet Union, gold, 6
2016, Cycling, Commonwealth of Independent States, silver, 3
2004, Cycling, East Germany, bronze, 1
2008, Synchronized Swimming, Australia, gold, 3
2004, Synchronized Swimming, Hungary, silver, 0
2004, Swimming, United States, silver, 6
2012, Gymnastics, Switzerland, bronze, 5
2016, Volleyball, Cuba, gold, 4
2004, Rowing, Belgium, gold, 2
2012, Tennis, China, g, 3
4, Synchronized Swimming, Australia, gold, 6
2004, Gymnastics, South Korea, gold, 4
2012, Synchronized Swimming, Bulgaria, gold, 5
2008, Tennis, Switzerland, silver, 4
2012, Cycling, Soviet Union, bronze, 5
2004, Volleyball, Canada, silver, 0
2004, Gymnastics, Netherlands, gold, 6
2008, Volleyball, Italy, silver, 3
2008, Cycling, Switzerland, bronze, 0
2008, Tennis, Finland, bronze, 4
2016, Cycling, Czechoslovakia, silver, 5
2012, Swimming, Commonwealth of Independent States, bronze, 4
2016, Gymnastics, Austria, gold, 4
2016, Cycling, Norway, silver, 0
2004, Modern Pentathlon, Australia, bronze, 2
2016, Swimming, Canada, gold, 2
2008, Gymnastics, Hungary, gold, 2
2008, Modern Pentathlon, Netherlands, silver, 0
2008, Rowing, Great Britain, bronze, 1
2004, Football / Soccer, Commonwealth of Independent States, bronze, 6
2012, Tennis, Germany, bronze, 4
2004, Football / Soccer, Australia, gold, 3
2004, Athletics, Romania, bronze, 5
2012, Modern Pentathlon, Soviet Union, gold, 1
2016, Athletics, China, g, 3
2004, Synchronized Swimming, Switzerland, gold, 6
2012, Football / Soccer, Turkey, silver, 5
2012, Tennis, Austria, gold, 1
2016, Football / Soccer, South Korea, silver, 1
2008, Modern Pentathlon, Canada, silver, 4
2016, Tennis, Germany, silver, 0
2012, Tennis, Hungary, gold, 3
2004, Gymnastics, South Korea, silver, 5
2004, Athletics, Japan, silver, 2
2016, Tennis, Poland, gold, 3
2016, Athletics, Czechoslovakia, silver, 1
2004, Swimming, France, gold, 3
2008, Athletics, Germany, gold, 6
2008, Volleyball, China, bronze, 6
2008, Athletics, Bulgaria, silver, 6
2012, Cycling, Soviet Union, silver, 6
12, Rowing, Australia, silver, 1
2004, Swimming, West Germany, silver, 2
2004, Cycling, Finland, silver, 4
2016, Synchronized Swimming, Germany, silver, 3
2004, Football / Soccer, Russia, gold, 5
2004, Tennis, Soviet Union, silver, 3
2004, Swimming, United States, bronze, 2
2016, Volleyball, Germany, gold, 5
2012, Modern Pentathlon, Poland, gold, 6
2016, Synchronized Swimming, Hungary, gold, 4
2004, Rowing, Bulgaria, g, 6
2016, Athletics, Romania, gold, 5
2008, Cycling, Italy, bronze, 4
2004, Swimming, Germany, bronze, 5
2008, Volleyball, Germany, silver, 4
2008, Synchronized Swimming, Japan, bronze, 1
2016, Swimming, Italy, bronze, 3
2008, Modern Pentathlon, Great Britain, b, 6
2012, Gymnastics, Norway, gold, 2
2008, Synchronized Swimming, East Germany, gold, 2
2012, Gymnastics, Czechoslovakia, bronze, 0
2008, Gymnastics, Czechoslovakia, silver, 4
2004, Athletics, Great Britain, gold, 0
2016, Gymnastics, Germany, silver, 3
2004, Football / Soccer, Hungary, gold, 6
4, Volleyball, Great Britain, bronze, 4
2012, Football / Soccer, Commonwealth of Independent States, bronze, 6
2016, Synchronized Swimming, South Korea, silver, 5
2016, Athletics, Finland, bronze, 4
2004, Gymnastics, Italy, bronze, 0
2012, Rowing, Austria, bronze, 6
2012, Swimming, Cuba, bronze, 1
2012, Volleyball, South Korea, silver, 6
2008, Gymnastics, Russia, gold, 4
2016, Modern Pentathlon, Sweden, bronze, 2
2004, Tennis, Romania, bronze, 3
2004, Volleyball, Germany, gold, 5
2004, Synchronized Swimming, Italy, silver, 0
2008, Modern Pentathlon, Bulgaria, gold, 0
16, Gymnastics, Commonwealth of Independent States, gold, 1
8, Swimming, Cuba, silver, 5
2012, Volleyball, Poland, gold, 3
2004, Synchronized Swimming, South Korea, bronze, 6
2016, Gymnastics, Norway, silver, 6
2008, Gymnastics, Commonwealth of Independent States, gold, 1
2004, Synchronized Swimming, Sweden, silver, 6
2012, Modern Pentathlon, United States, silver, 5
2004, Football / Soccer, Denemark, silver, 0
2008, Athletics, Czechoslovakia, gold, 5
2016, Swimming, Romania, gold, 4
2016, Athletics, Denemark, silver, 3
2008, Football / Soccer, Turkey, gold, 3
2016, Synchronized Swimming, Italy, g, 4
2008, Athletics, Great Britain, gold, 1
2016, Cycling, Sweden, gold, 6
2004, Modern Pentathlon, Italy, bronze, 0
2004, Volleyball, Denemark, gold, 1
2016, Rowing, China, gold, 4
2012, Athletics, Japan, gold, 3
2016, Cycling, United States, bronze, 1
2008, Swimming, Poland, bronze, 5
2012, Gymnastics, Poland, bronze, 4
2004, Swimming, South Korea, gold, 0
2016, Rowing, Austria, silver, 1
2012, Cycling, Canada, bronze, 2
2012, Athletics, Sweden, gold, 6
2012, Athletics, South Korea, silver, 4
2004, Athletics, Bulgaria, silver, 2
2008, Rowing, Sweden, silver, 6
2012, Cycling, Great Britain, bronze, 5
2012, Tennis, Finland, silver, 1
2012, Synchronized Swimming, Bulgaria, silver, 3
2004, Synchronized Swimming, Cuba, gold, 2
8, Gymnastics, Belgium, bronze, 1
2008, Synchronized Swimming, Great Britain, silver, 5
2008, Gymnastics, Canada, gold, 4
2008, Cycling, Turkey, gold, 2
2008, Volleyball, South Korea, gold, 2
2012, Swimming, Bulgaria, silver, 5
2004, Synchronized Swimming, Denemark, bronze, 2
2016, Modern Pentathlon, Hungary, gold, 0
2016, Synchronized Swimming, Romania, gold, 4
2012, Athletics, Turkey, s, 3
2004, Rowing, Great Britain, bronze, 0
2004, Football / Soccer, Poland, silver, 1
2008, Volleyball, Poland, gold, 5
2004, Football / Soccer, Cuba, gold, 2
2004, Gymnastics, Australia, gold, 5
2004, Volleyball, Commonwealth of Independent States, silver, 3
2012, Rowing, East Germany, silver, 0
2008, Modern Pentathlon, Switzerland, silver, 2
2008, Synchronized Swimming, Denemark, gold, 4
2008, Cycling, Poland, bronze, 3
2008, Football / Soccer, France, gold, 0
2016, Swimming, Japan, gold, 3
2008, Gymnastics, Norway, gold, 3
2016, Football / Soccer, Germany, gold, 3
2012, Athletics, France, silver, 2
2016, Volleyball, Norway, bronze, 1
2008, Gymnastics, Austria, silver, 5
2016, Gymnastics, Turkey, gold, 4
2008, Football / Soccer, Hungary, b, 3
2008, Swimming, Norway, silver, 3
2016, Gymnastics, France, bronze, 3
2012, Football / Soccer, Italy, silver, 1
2012, Swimming, Belgium, bronze, 5
2016, Athletics, Switzerland, bronze, 2
2004, Synchronized Swimming, Netherlands, silver, 2
2012, Rowing, Canada, bronze, 0
2008, Athletics, Finland, bronze, 5
2012, Synchronized Swimming, France, silver, 0
2016, Rowing, Germany, bronze, 4
2008, Football / Soccer, Denemark, gold, 0
4, Athletics, South Korea, gold, 5
2004, Cycling, Bulgaria, silver, 1
2004, Football / Soccer, Germany, gold, 5
2008, Rowing, West Germany, gold, 2
2004, Athletics, Norway, gold, 2
2008, Cycling, China, silver, 4
2012, Gymnastics, Australia, silver, 1
2012, Swimming, Canada, bronze, 6
2012, Football / Soccer, South Korea, silver, 5
2008, Gymnastics, Poland, bronze, 6
2016, Gymnastics, Norway, gold, 6
2012, Swimming, Romania, b, 1
2012, Gymnastics, Australia, gold, 5
2008, Rowing, Austria, b, 3
2004, Synchronized Swimming, Hungary, gold, 2
2016, Gymnastics, Turkey, silver, 6
2008, Swimming, Great Britain, silver, 5
2012, Swimming, Turkey, silver, 0
2004, Swimming, Commonwealth of Independent States, silver, 1
2008, Athletics, Bulgaria, gold, 4
2016, Tennis, Cuba, silver, 5
2016, Athletics, Bulgaria, silver, 6
2008, Synchronized Swimming, Soviet Union, silver, 3
2004, Football / Soccer, Cuba, bronze, 0
16, Gymnastics, China, bronze, 0
2008, Athletics, West Germany, gold, 0
2016, Swimming, Switzerland, silver, 5
2016, Gymnastics, Germany, gold, 6
2004, Synchronized Swimming, West Germany, bronze, 1
2012, Synchronized Swimming, Commonwealth of Independent States, bronze, 4
2004, Football / Soccer, Australia, bronze, 1
2016, Gymnastics, Austria, bronze, 4
2012, Modern Pentathlon, Canada, gold, 0
2004, Volleyball, Belgium, gold, 6
2004, Cycling, West Germany, silver, 0
2012, Synchronized Swimming, Poland, silver, 5
2004, Swimming, Belgium, silver, 2
2016, Athletics, Austria, silver, 1
2016, Gymnastics, Australia, silver, 0
2012, Volleyball, Hungary, gold, 0
2004, Modern Pentathlon, Hungary, bronze, 4
2012, Swimming, Commonwealth of Independent States, gold, 2
2004, Volleyball, Romania, bronze, 1
2012, Rowing, Germany, bronze, 2
2016, Cycling, Poland, bronze, 2
2004, Synchronized Swimming, Belgium, gold, 0
2016, Swimming, United States, bronze, 1
2012, Synchronized Swimming, Germany, gold, 3
2016, Athletics, Great Britain, bronze, 0
2012, Volleyball, China, gold, 2
2012, Football / Soccer, Turkey, bronze, 5
2012, Synchronized Swimming, Sweden, bronze, 0
2016, Football / Soccer, Belgium, gold, 4
2012, Athletics, Commonwealth of Independent States, bronze, 3
2012, Synchronized Swimming, Hungary, gold, 4
2008, Rowing, Turkey, gold, 5
4, Swimming, Hungary, bronze, 0
2016, Tennis, United States, silver, 6
2016, Tennis, Romania, silver, 0
2012, Tennis, South Korea, bronze, 3
2004, Tennis, Cuba, silver, 3
2004, Rowing, Japan, bronze, 1
12, Tennis, Russia, bronze, 0
2004, Volleyball, Austria, bronze, 0
2008, Cycling, Denemark, g, 6
2004, Swimming, Norway, gold, 5
2008, Tennis, Czechoslovakia, bronze, 0
2016, Cycling, Cuba, silver, 0
4, Swimming, Commonwealth of Independent States, gold, 5
2008, Rowing, Romania, gold, 2
2008, Synchronized Swimming, Finland, gold, 3
2012, Synchronized Swimming, Czechoslovakia, gold, 5
2008, Modern Pentathlon, Belgium, silver, 5
2016, Rowing, Finland, gold, 1
2012, Cycling, Norway, silver, 2
2004, Athletics, Belgium, silver, 3
2016, Volleyball, Australia, gold, 4
2016, Modern Pentathlon, Japan, gold, 0
2016, Volleyball, Belgium, bronze, 4
2016, Swimming, Germany, bronze, 4
2008, Swimming, Finland, bronze, 2
2012, Tennis, Japan, gold, 5
2004, Swimming, Hungary, gold, 5
2004, Athletics, Soviet Union, bronze, 6
2012, Modern Pentathlon, Turkey, bronze, 5
8, Athletics, Cuba, bronze, 3
2012, Tennis, Denemark, silver, 6
2012, Swimming, Romania, gold, 5
2008, Cycling, Bulgaria, s, 1
2012, Athletics, Austria, silver, 4
2016, Rowing, Cuba, gold, 3
2012, Athletics, Netherlands, bronze, 4
2012, Rowing, West Germany, bronze, 1
2016, Gymnastics, Netherlands, bronze, 0
2012, Cycling, South Korea, silver, 0
2004, Synchronized Swimming, Soviet Union, gold, 2
2012, Modern Pentathlon, West Germany, gold, 0
2004, Volleyball, Netherlands, silver, 6
2016, Synchronized Swimming, Sweden, bronze, 1
2008, Tennis, Japan, gold, 4
2004, Modern Pentathlon, Great Britain, silver, 0
2008, Cycling, Czechoslovakia, silver, 2
2008, Swimming, Australia, gold, 4
2004, Volleyball, Czechoslovakia, silver, 5
2008, Cycling, Norway, silver, 4
2012, Volleyball, Commonwealth of Independent States, silver, 1
2016, Synchronized Swimming, Romania, silver, 6
2016, Tennis, Belgium, silver, 1
2016, Football / Soccer, South Korea, bronze, 3
2012, Rowing, Switzerland, gold, 6
2004, Gymnastics, Switzerland, gold, 4
2004, Cycling, Hungary, silver, 6
2008, Volleyball, Great Britain, silver, 1
2012, Gymnastics, Hungary, gold, 0
2016, Tennis, Hungary, silver, 2
2012, Modern Pentathlon, Poland, silver, 4
2016, Volleyball, Turkey, silver, 5
2008, Modern Pentathlon, Hungary, gold, 2
2004, Cycling, East Germany, silver, 3
2016, Football / Soccer, Soviet Union, bronze, 2
2012, Volleyball, Great Britain, gold, 6
2004, Modern Pentathlon, Austria, bronze, 4
2004, Tennis, Sweden, gold, 6
2016, Football / Soccer, Sweden, bronze, 4
2004, Synchronized Swimming, Soviet Union, bronze, 4
2008, Cycling, Japan, bronze, 6
2008, Modern Pentathlon, Netherlands, bronze, 6
2004, Tennis, Czechoslovakia, bronze, 5
2016, Tennis, Commonwealth of Independent States, gold, 5
2016, Tennis, Australia, gold, 5
2012, Football / Soccer, Russia, gold, 2
2008, Gymnastics, Hungary, silver, 0
2012, Tennis, Switzerland, bronze, 6
2004, Swimming, Romania, bronze, 2
2008, Football / Soccer, Soviet Union, gold, 6
2008, Volleyball, Romania, silver, 4
2004, Cycling, Great Britain, bronze, 5
2008, Rowing, United States, bronze, 1
2012, Tennis, Cuba, bronze, 4
2012, Volleyball, France, bronze, 5
2016, Athletics, Cuba, bronze, 6
2016, Swimming, Hungary, bronze, 0
2004, Football / Soccer, Austria, gold, 0
2004, Swimming, Norway, silver, 5
2004, Gymnastics, Denemark, gold, 0
2012, Football / Soccer, Japan, silver, 4
2004, Tennis, Hungary, bronze, 1
2004, Tennis, Germany, silver, 5
2008, Tennis, Hungary, gold, 6
8, Volleyball, Switzerland, gold, 0
2012, Volleyball, Norway, gold, 0
2004, Athletics, East Germany, gold, 6
2012, Modern Pentathlon, Germany, bronze, 2
2016, Gymnastics, Japan, gold, 3
2008, Tennis, Great Britain, silver, 2
2008, Volleyball, Bulgaria, silver, 1
2008, Football / Soccer, China, silver, 6
2012, Football / Soccer, Switzerland, gold, 5
2004, Cycling, United States, silver, 6
2008, Rowing, Germany, bronze, 4
2016, Tennis, Great Britain, gold, 3
2004, Volleyball, Japan, bronze, 3
2012, Cycling, South Korea, gold, 5
2008, Volleyball, West Germany, bronze, 3
2016, Cycling, Italy, bronze, 4
2016, Volleyball, Czechoslovakia, gold, 3
2012, Tennis, Romania, bronze, 4
2004, Rowing, Bulgaria, silver, 4
2016, Football / Soccer, Great Britain, silver, 4
2012, Volleyball, Russia, silver, 2
2012, Cycling, Turkey, bronze, 5
2008, Football / Soccer, Bulgaria, silver, 0
2004, Rowing, Switzerland, bronze, 3
2004, Cycling, Russia, bronze, 6
2004, Cycling, Austria, gold, 5
2012, Rowing, Great Britain, silver, 0
2016, Cycling, Commonwealth of Independent States, bronze, 2
2016, Tennis, Soviet Union, gold, 1
2008, Cycling, West Germany, silver, 1
2016, Athletics, Cuba, silver, 1
2016, Synchronized Swimming, Belgium, bronze, 6
2016, Cycling, Netherlands, silver, 4
2004, Tennis, Romania, gold, 2
2008, Rowing, Cuba, gold, 6
2004, Cycling, West Germany, gold, 6
2004, Swimming, Japan, gold, 5
2016, Athletics, Norway, silver, 5
2012, Synchronized Swimming, Cuba, bronze, 5
2008, Athletics, Japan, silver, 3
2016, Swimming, Poland, silver, 3
2004, Gymnastics, Belgium, gold, 0
2008, Athletics, United States, bronze, 3
2016, Tennis, Canada, bronze, 3
2008, Swimming, West Germany, bronze, 2
2004, Volleyball, Australia, bronze, 4
2008, Modern Pentathlon, United States, bronze, 2
2008, Cycling, Finland, gold, 5
2016, Swimming, China, bronze, 0
2016, Modern Pentathlon, Austria, gold, 2
2004, Gymnastics, Cuba, silver, 2
2004, Volleyball, China, bronze, 3
2012, Athletics, Bulgaria, bronze, 2
2004, Cycling, Netherlands, bronze, 6
2004, Football / Soccer, Japan, bronze, 3
2004, Modern Pentathlon, Russia, gold, 5
2012, Swimming, France, gold, 2
2012, Cycling, United States, bronze, 2
2012, Cycling, Bulgaria, gold, 6
2012, Rowing, Commonwealth of Independent States, bronze, 5
2008, Volleyball, Russia, gold, 4
2004, Tennis, China, silver, 0
2016, Modern Pentathlon, East Germany, silver, 5
2012, Synchronized Swimming, West Germany, bronze, 5
2016, Athletics, Netherlands, gold, 4
2012, Cycling, Romania, bronze, 3
2004, Tennis, Switzerland, b, 2
